Probe	hour1	hour6	hour24	day2	day7
DDR1	0.0327409999999997	0.42568	-0.298857	-0.261270999999999	-0.715841000000001
RFC2	0.346378	0.817411	-0.415415	-0.17432	-0.00317900000000026
HSPA7	0.160292	-0.0175520000000002	0.044206	0.157404499999999	-0.131987
HSPA6	0.160292	-0.0175520000000002	0.044206	0.157404499999999	-0.131987
PAX8	-0.0311919999999999	0.239031000000001	-0.047193	0.0192750000000004	0.026249
GUCA1A	0.0845009999999999	-0.00316800000000006	0.055704	0.0879559999999997	0.137805
UBA7	0.150293	0.430046999999999	-0.109948	0.026095999999999	-0.291282
THRA	-0.102366	0.135161	-0.186112	0.0949369999999998	-0.392593
PTPN21	0.25866	0.495225	-0.371648	-0.158123	-0.195125
CCL5	0.0339989999999997	-0.656629	0.0445859999999998	0.199142	0.227128
CYP2E1	0	-0.208919	-0.0521639999999999	0.00188899999999981	0.0968299999999997
EPHB3	0.100266	0.0377419999999997	-0.00648599999999977	0.117508999999999	0.068314
ESRRA	0.144651000000001	0.501667	-0.244678	0.122106	-0.102851
ESRRAP1	0.144651000000001	0.501667	-0.244678	0.122106	-0.102851
CYP2A6	-0.271633	-0.297543	-0.248124	0.141016499999999	-0.30118
CYP2A7	-0.271633	-0.297543	-0.248124	0.141016499999999	-0.30118
SCARB1	0.235605999999999	0.629928000000001	-0.554992	-0.7217065	-0.542127000000001
TTLL12	0.0836930000000002	-0.201323	0.134615	0.447408	0.191305
WFDC2	-0.215688	0.27801	-0.0925060000000002	0.0439825000000003	-0.0331390000000003
MAPK1	0.21023	-0.920464	0.383885	-0.309368	0.405487
MAPK1	0.537735	0.520917	-0.247332	-0.559384000000001	0.196919
ADAM32	-0.511137	-0.339634	0.00247400000000031	0.1634495	0.123784
SPATA17	0.218751	0.705526	-0.081245	0.2860115	-0.444686
PRR22	-0.0333579999999998	0.147198	-0.0487950000000001	-0.0542810000000005	-0.280684
PRR22	0.069096	0.549415000000001	-0.272068	0.119373	-0.472537
PXK	0.315546	-0.00875899999999952	-0.122581	-0.419969	0.356554
PXK	0.337077	0.242489	0.0385969999999993	-0.415281999999999	0.245746
VPS18	-0.139842000000001	0.5005	-0.38443	-0.3039345	-0.13562
C9orf30	0.300597	0.589033000000001	0.00138999999999889	0.173678500000001	-0.118216
SLC46A1	0.112353000000001	0.624428	-0.42233	-0.3275045	-0.304869999999999
SLC46A1	-0.153968	0.168197	-0.22002	0.0592355000000007	0.0522169999999997
TIMD4	-0.111203	0.294424	0.0303829999999996	0.0670035000000002	0.0603660000000001
SLC39A5	0.156616000000001	0.287089	-0.101014	-0.111941	0.0291509999999997
ZDHHC11B	0	-0.0640100000000006	0.843110999999999	-0.499835	-0.0665190000000004
ZDHHC11	0	-0.0640100000000006	0.843110999999999	-0.499835	-0.0665190000000004
ATP6V1E2	0.0531519999999999	-0.255295	0.140868999999999	0.0857640000000002	0.368463
AFG3L1P	-0.225352	0.0778739999999996	0.228389	-0.198706	-0.128877
CILP2	-0.211739	-0.01294	-0.511155	-0.1142405	-0.358901
CILP2	-0.0813309999999996	-0.195215	0.298955	0.0225929999999996	0.43272
PIGX	-0.0067320000000004	-0.0505940000000002	0.592757	0.0561129999999999	0.256144
TMEM196	0.111991	-0.408043999999999	-0.089861	0.0909654999999994	-0.379999
SLC39A13	0	0.805207999999999	-0.243577999999999	-0.280289000000001	-0.294079
BEST4	-0.119016	-0.0802120000000004	-0.172599	0.1744475	-0.354321
AKD1	-0.0354110000000003	-0.119578	-0.109079	-0.361505	0.1027
CORO6	0.0406219999999999	0.244321999999999	0.0674089999999996	-0.0475564999999998	-0.43443
TMEM106A	0.198443	-0.20541	0.0716579999999998	0.1395825	-0.200874
TMEM106A	-0.20442	0.0571720000000004	0.247904	-0.0336964999999996	-0.234563000000001
ALG10	0.162543	-0.549507	-0.249441	-0.00837399999999988	0.133981
ALG10	0.54487	0.248899	0.0157629999999997	-0.185957999999999	-0.0242040000000001
TTC39C	-0.13883	-0.101973999999999	0.576498	-0.0390934999999999	0.213620000000001
NEXN	0.141857	1.354118	0.309334	-0.159886999999999	0.272212
C15orf40	0.45541	0.366429	-0.574171000000001	-0.194895	-0.139266
RAX2	-0.0820270000000001	0.0932890000000004	0.0866639999999999	0.0502345000000002	-0.0214109999999996
MFAP3	0.448922	0.0987179999999999	0.017582	-0.462137	0.0818759999999994
EYA3	-0.00802499999999995	0.38173	0.108586	0.1521015	0.122957
GIMAP1	-0.499322	0	-0.253038999999999	0.129923000000001	-0.504119999999999
GIMAP1	-0.0992090000000001	0.145797	-0.130848	0.204268	0.031704
GIMAP1	0	0.214461	-0.00268399999999991	0.00920299999999985	-0.222917
KLK8	0	-0.28994	0.149403	0.0338590000000001	0.179021
CCDC65	0.00583700000000009	0.32041	-0.236844	0.0823394999999998	0.0437239999999997
CCDC65	0.228371	0.163165	-0.152745	0.1875425	-0.422479
FAM122C	0.155685	0.122439	-0.184503	0.234085	0.0198400000000003
FAM122C	0.0759469999999998	-0.205732	0.181046	0.2543595	-0.00681299999999974
CCDC11	0.123161	-0.117958	-0.297811	0.1498445	-0.0686419999999996
CCDC11	-0.2972	0.0449909999999996	0.0926859999999996	0.245807500000001	0.6544
ARMCX4	0.0346390000000003	0.155347	0.276745	-0.0935220000000001	-0.00648800000000005
RBBP6	0.346763	-0.31049	0.425181	-0.244959	0.00277200000000022
CENPBD1	0.253865	0.197707	0.406447	0.0978005	0.163347
TRIOBP	-0.0270470000000005	0.14408	-0.087828	0.1813225	0.18934
TRIOBP	-0.252768000000001	-0.713445999999999	0.115023	-0.183042499999999	-0.906668
CATSPER1	0.136169	0.388643	-0.169326	0.00334749999999939	0.157772
HOXD3	-0.0613809999999999	-0.202803	-0.248141	0.0459220000000009	-0.244325
HOXD4	-0.0613809999999999	-0.202803	-0.248141	0.0459220000000009	-0.244325
GSC	-0.057976	-0.171423	-0.109614	0.108408499999999	-0.0493600000000001
SP7	-0.0943980000000004	0.0186150000000005	-0.048673	0.165868	-0.383963
PDE7A	-0.504287	-0.249422	0.339433000000001	-0.1426805	-0.868158999999999
CNOT7	0.132347999999999	0.24274	0.130299	-0.451397	0.0701999999999998
CRYZL1	0.189215	-0.801635999999999	0.794069	0.0518494999999994	-0.308721
PRSS33	0.130848	-0.136128	-0.214796	0.3205235	-0.172223000000001
PRSS33	-0.133987	-0.331494	-0.0157780000000001	0.2942145	0.300520000000001
C19orf26	-0.461439	-1.12749	0.413284	0.517595500000001	-0.075469
C19orf26	-0.0777589999999995	-0.427656	-0.243425	0.128194000000001	0.0400149999999995
C8orf45	0.213863	-0.162811	-0.0175519999999998	0.0512684999999999	-0.250825
LEAP2	-0.175019	-0.516773	0.325882	-0.0285989999999998	-0.70396
MSI2	0.102685	0.146452999999999	-0.0686230000000005	-0.436405	-0.282974
SCIN	-0.0701169999999998	-0.344167	-0.0479509999999999	-0.0559504999999998	0.286369
SCIN	0.227329	0.185454	0.148117	-0.1162635	-0.0419010000000002
CTCFL	-0.118269	-0.906904	-0.104579	-0.0277965	0.985469
C4orf33	0.340692	0.326987999999999	0.0190999999999999	-0.113462000000001	0.012251
C4orf33	0.199084	0.105655	-0.096733	0.0163334999999996	0.0743019999999999
C4orf33	-0.0249930000000003	-0.015333	0.00905500000000004	0.148367	0.0846619999999998
ZNF333	-0.179011	-0.933996	0.282937	0.300245	-0.0592829999999998
FAM18B2	0.072527	0.501272	-0.0133279999999996	-0.00312200000000029	0.126383
RDH10	0.560123	0.556604999999999	0.118318	-0.596664000000001	0.481534
SRSF12	-0.0930180000000003	0.207227	-0.136299	-0.4059815	0.074195
FAM71A	-0.195883	-0.092784	-0.0959490000000001	-0.0121314999999997	-0.155984
FAM71A	-0.0498240000000001	0.508199	0.0407690000000001	0.00689949999999939	-0.110984
GAPT	-0.157351	-0.00644800000000023	-0.154772	0.047895	0.0348189999999997
C8orf47	0.543778	0.841897	0.801329	-0.0771445000000002	0.0400149999999995
C8orf47	0.377162	0.651141	0.353208	-0.223509999999999	0.354858
C1orf65	0.197993	0.496266	-0.486746	-0.144146000000001	0.810159000000001
ENTHD1	0	-0.445023	-0.144727	0.0633940000000002	-0.0966509999999996
ENTHD1	-0.068457	0.0165600000000001	-0.086392	0.0102709999999999	0.0747920000000004
TSSK3	0.0865849999999995	0.178151	-0.0385270000000002	0.000567000000000206	-0.148013000000001
HSPD1P21	-0.334023	-0.104764	0.148001	0.0676619999999999	-0.247606
WFDC6	-0.334023	-0.104764	0.148001	0.0676619999999999	-0.247606
SPINLW1	-0.334023	-0.104764	0.148001	0.0676619999999999	-0.247606
CLEC12A	-0.127448	0.113059	-0.037093	0.3071565	0
BRF1	0.509686	-0.0304769999999999	-0.42424	0.0720894999999997	-0.0871420000000001
C15orf27	-0.00155700000000003	0.681610999999999	0.2222	0.0864180000000001	0.0426970000000004
NCRNA00258	-0.209993	-0.0828160000000002	0.146423	0.0129895000000002	-0.0442840000000002
BACH1	-0.209993	-0.0828160000000002	0.146423	0.0129895000000002	-0.0442840000000002
CALML6	0.10525	-0.0602159999999996	-0.213083	-0.0772905000000002	-0.0928879999999994
NLRP5	0	-0.245551	-0.185231	0.2396665	0.0590700000000002
ODF4	-0.022618	-0.578987	0.0725060000000002	0.0323340000000001	0.0470000000000002
ODF4	0.177074	-0.282980999999999	0.329888	-0.00491350000000068	-0.212403
CLEC4F	-0.13975	0.557271999999999	0.224437	-0.293155999999999	-0.0371879999999996
DEFB106B	0.0388169999999999	0.421468000000001	0.043939	0.0120184999999999	0.525355
DEFB106A	0.0388169999999999	0.421468000000001	0.043939	0.0120184999999999	0.525355
DEFB106A	-0.0365539999999998	0.266912	-0.0144890000000002	0.235031	-0.126274
DEFB106B	-0.0365539999999998	0.266912	-0.0144890000000002	0.235031	-0.126274
WFDC9	-0.0834540000000001	-0.511147	0.0208090000000003	0.2254455	-0.0740569999999998
WFDC9	0.124033	-0.0511649999999997	0.231563	0.322947999999999	0.123303
NEDD1	0.685862	0.769951	0.0799390000000004	-0.4412835	0.315983
TTLL10	-0.0552210000000004	-0.276034999999999	0.167751	0.3392705	0.216415
TTLL10	-0.220075	-0.706842	0.233906999999999	0.3197935	-0.156949
CALR3	-0.0808949999999999	0.575706	0.116801	0.141459	0.587375
C10orf25	-0.23811	-0.166596	0.0211550000000003	0.19518	-0.0474769999999998
ETV3	-0.227371000000001	-0.305352	0.32568	-0.00660550000000004	0.040978
KLHL10	-0.15599	-0.279689	-0.533645	0.276189	0.00991900000000001
KLHL10	0.0857250000000001	0.524971	0.06636	-0.199943	0.179818
TM2D3	0.106018000000001	0.138043	0.223381999999999	-0.0643419999999999	0.264039
ZNF485	0.148741	0.124132	-0.054516	0.0787105000000001	0.201085
WDR17	0.0689070000000003	-0.215791	0.0298430000000001	-0.163825	0.0101960000000001
MFSD6L	0.0571060000000001	0.137926999999999	-0.139247	0.1216485	-0.0214360000000005
CDH23	0.0266840000000004	0.185746	-0.147659	0.00793550000000032	-0.264922
ANKAR	-0.170035	0.0503079999999998	0.128031	0.0249455000000003	-0.0865659999999999
MEGF11	-0.0533509999999997	-0.138154	0.150274	0.0779865000000002	0.175825
GPR182	0.106562	-0.0613449999999993	-0.300951	-0.1981525	0.152035000000001
ESX1	0.107161	-0.109668	-0.248781	-0.1572185	-0.0865929999999997
C8orf12	-0.00819700000000001	-0.104114	0.181045	-0.0609785000000005	-0.198693
SCGB1C1	-0.130906	0.0309240000000002	0.317073	0.220933	0
DNAJC5G	0	-0.343281	0.0742839999999996	0.00679549999999995	0.0660780000000001
WDR88	-0.246894	0.0250949999999999	-0.11243	0.109646	-0.141386
WDR88	0.0930179999999998	0.063644	-0.44838	0.177822	-0.0349179999999998
PRUNE2	0.114407	-0.00912699999999989	0.0774909999999998	0.2351005	-0.497665
MBD3L5	0.160428	-0.391174	-0.0515850000000002	0.196865	-0.187398
MBD3L4	0.160428	-0.391174	-0.0515850000000002	0.196865	-0.187398
MBD3L3	0.160428	-0.391174	-0.0515850000000002	0.196865	-0.187398
