# Expression Atlas
# Query: Genes matching: 'R-ATH-8933811', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-GEOD-30720
# Selected columns: 19 (all)
# Timestamp: Wed, 17-Apr-2024 14:55:19
Gene ID	Gene Name	Bur-0	Can-0	Col-0	Ct-1	Edi-0	Hi-0	Kn-0	Ler-0	Mt-0	No-0	Oy-0	Po-0	Rsch-4	Sf-2	Tsu-0	Wil-2	Ws-0	Wu-0	Zu-0
AT1G04400	CRY2	52.0	55.0	53.0	67.0	61.0	65.0	54.0	60.0	43.0	75.0	65.0	54.0	56.0	62.0	73.0	59.0	81.0	76.0	62.0
AT1G09570	PHYA	17.0	20.0	22.0	19.0	27.0	19.0	19.0	19.0	22.0	23.0	21.0	22.0	23.0	22.0	25.0	20.0	19.0	22.0	25.0
AT2G18790	PHYB	9.0	28.0	24.0	28.0	23.0	22.0	11.0	33.0	24.0	23.0	27.0	15.0	9.0	8.0	23.0	8.0	25.0	30.0	14.0
AT4G08920	CRY1	46.0	59.0	70.0	46.0	52.0	49.0	54.0	47.0	39.0	54.0	48.0	49.0	49.0	45.0	40.0	47.0	32.0	46.0	54.0
AT4G16250	PHYD	6.0	4.0	7.0	2.0	4.0	3.0	0.8	4.0	2.0	5.0	2.0	5.0	2.0	5.0	4.0	2.0	1.0	5.0	5.0
AT5G08330	TCP21	94.0	39.0	50.0	76.0	90.0	51.0	68.0	48.0	64.0	40.0	62.0	54.0	75.0	57.0	58.0	51.0	82.0	52.0	74.0
AT5G11260	HY5	1.0	4.0	9.0	4.0	5.0	4.0	4.0	11.0	3.0	4.0	12.0	7.0	6.0	3.0	4.0	6.0	0.3	5.0	3.0
AT5G23280	TCP7	9.0	23.0	30.0	27.0	22.0	25.0	32.0	20.0	34.0	31.0	30.0	35.0	25.0	16.0	16.0	40.0	33.0	36.0	28.0
AT5G24470	APRR5	68.0	86.0	33.0	94.0	59.0	48.0	18.0	4.0	10.0	79.0	33.0	10.0	91.0	104.0	119.0	64.0	87.0	76.0	124.0
AT5G61380	APRR1	23.0	28.0	17.0	25.0	33.0	22.0	13.0	12.0	12.0	45.0	19.0	16.0	67.0	43.0	42.0	29.0	62.0	45.0	81.0
